source;target;weight
J_APPL_ICHTHYOL;HYDROBIOLOGIA;4
J_FRESHWATER_ECOL;FRESHWATER_BIOL;4
HYDROBIOLOGIA;J_FISH_BIOL;4
BIOL_J_LINN_SOC;MOL_ECOL;4
FRESEN_ENVIRON_BULL;MAR_CHEM;4
MAR_GEOLOGY;SEDIMENT_GEOL;4
CONT_SHELF_RES;GEOPHYS_RES_LETT;4
FISHERIES_MANAG_ECOL;FRESHWATER_BIOL;4
CHEM_GEOL;BIOGEOCHEMISTRY;4
HYDROL_PROCESS;J_HYDROMETEOROL;4
AMBIO;GEOMORPHOLOGY;4
ESTUARIES_COASTS;MAR_CHEM;4
CAN_WATER_RESOUR_J;HYDROL_PROCESS;4
J_N_AMER_BENTHOL_SOC;ECOSYSTEMS;4
ENVIRON_MONIT_ASSESS;MAR_POLLUT_BULL;4
CONT_SHELF_RES;PROG_OCEANOGR;4
ENVIRON_MONIT_ASSESS;FRESHWATER_BIOL;4
GEOLOGY;GEOMORPHOLOGY;4
ESTUARIES_COASTS;LIMNOL_OCEANOGR;4
OCEANOGRAPHY;J_PHYS_OCEANOGR;4
HYDROL_PROCESS;WATER_RES;4
HYDROBIOLOGIA;GEOMORPHOLOGY;4
J_HYDROL_ENG;HYDROL_PROCESS;4
ECOL_MODEL;J_HYDROL;4
BIOGEOCHEMISTRY;ENVIRON_SCI_TECHNOL;4
GLOBAL_BIOGEOCHEM_CYCLE;WATER_RESOUR_RES;4
FRESHWATER_BIOL;FISHERIES_MANAG_ECOL;4
HYDROL_PROCESS;ECOHYDROLOGY;4
J_HYDROL;J_ARID_ENVIRON;4
J_FRESHWATER_ECOL;BIOL_INVASIONS;4
EARTH_PLANET_SCI_LETT;MAR_CHEM;4
GLOBAL_PLANET_CHANGE;QUATERNARY_SCI_REV;4
J_ENVIRON_QUAL;ENVIRON_POLLUT;4
BIOSCIENCE;FRESHWATER_BIOL;4
J_HYDROL;BIOGEOCHEMISTRY;4
MAR_GEOLOGY;GEOLOGY;4
RIVER_RES_APPL;ECOL_APPL;4
CAN_J_FISHERIES_AQUAT_SCI;ECOL_APPL;4
HYDROL_RES;J_HYDROL;4
MAR_GEOLOGY;J_MARINE_SYST;4
INT_J_SEDIMENT_RES;GEOMORPHOLOGY;4
FISHERIES_MANAG_ECOL;J_FISH_BIOL;4
J_APPL_ECOL;BIOL_CONSERV;4
HYDROLOG_SCI_J;ENVIRON_MODELL_SOFTW;4
BIOGEOSCIENCES;GEOPHYS_RES_LETT;4
APPL_GEOCHEM;MAR_CHEM;4
J_APPL_ECOL;MOL_ECOL;4
HYDROL_EARTH_SYST_SCI;APPL_GEOCHEM;4
GEOCHIM_COSMOCHIM_ACTA;GEOPHYS_RES_LETT;4
MAR_FRESHWATER_RES;HYDROBIOLOGIA;4
SCI_TOTAL_ENVIR;QUATERN_INT;4
ENVIRON_POLLUT;CATENA;4
GEOMORPHOLOGY;ENG_GEOL;4
ENVIRON_MONIT_ASSESS;ENVIRON_SCI_TECHNOL;4
ECOHYDROLOGY;WATER_RESOUR_RES;4
ECOL_APPL;FRESHWATER_BIOL;4
FISHERIES_MANAG_ECOL;RIVER_RES_APPL;4
FRESHWATER_BIOL;BIOL_INVASIONS;4
MAR_CHEM;J_MARINE_SYST;4
ENVIRON_SCI_TECHNOL;APPL_GEOCHEM;4
J_AM_WATER_RESOUR_ASSOC;FRESHWATER_BIOL;4
CONSERV_GENET;MOL_ECOL;4
J_ENVIRON_MANAGE;J_HYDROL;4
SCI_TOTAL_ENVIR;CHEM_GEOL;4
TRANS_AMER_FISH_SOC;CONSERV_BIOL;4
APPL_ENVIRON_MICROBIOL;FRESHWATER_BIOL;4
NORTH_AM_J_FISH_MANAGE;RIVER_RES_APPL;4
SCI_TOTAL_ENVIR;AQUAT_CONSERV;4
GLOBAL_PLANET_CHANGE;WATER_RESOUR_RES;4
J_ENVIRON_MANAGE;ENVIRON_MANAGE;4
ECOHYDROLOGY;ECOL_APPL;4
GEOMORPHOLOGY;GEOPHYS_RES_LETT;4
CHEM_GEOL;MAR_CHEM;4
GLOBAL_PLANET_CHANGE;J_HYDROL;4
CHEM_GEOL;QUATERN_INT;4
OCEANOGRAPHY;GEOPHYS_RES_LETT;4
ECOL_MODEL;FRESHWATER_BIOL;4
HYDROBIOLOGIA;AQUAT_ECOL;4
WATER_AIR_SOIL_POLLUT;ENVIRON_SCI_TECHNOL;4
ORG_GEOCHEM;GEOPHYS_RES_LETT;4
FISHERIES_MANAG_ECOL;ECOL_FRESHW_FISH;4
EARTH_PLANET_SCI_LETT;CHEM_GEOL;4
HYDROL_EARTH_SYST_SCI;GEOMORPHOLOGY;4
AQUAT_SCI;HYDROBIOLOGIA;4
GEOCHIM_COSMOCHIM_ACTA;ENVIRON_SCI_TECHNOL;4
ESTUAR_COAST_SHELF_SCI;ENVIRON_POLLUT;4
ESTUAR_COAST_SHELF_SCI;J_MARINE_SYST;4
ECOSYSTEMS;FRESHWATER_BIOL;4
ECOSYSTEMS;GEOPHYS_RES_LETT;4
FRESHWATER_BIOL;HYDROL_PROCESS;4
AQUAT_BOT;FRESHWATER_BIOL;4
EVOL_APPL;MOL_ECOL;4
FRESHWATER_BIOL;J_FISH_BIOL;4
BIOL_CONSERV;AQUAT_CONSERV;4
ESTUAR_COAST_SHELF_SCI;ENVIRON_SCI_TECHNOL;4
BIOGEOCHEMISTRY;J_HYDROL;4
ENVIRON_GEOL;J_HYDROL;4
WATER_SCI_TECHNOL;J_ENVIRON_MANAGE;4
WATER_RESOUR_MANAG;PHYS_CHEM_EARTH;4
TRANS_AMER_FISH_SOC;FISHERIES;4
APPL_GEOCHEM;J_HYDROL;4
J_AM_WATER_RESOUR_ASSOC;HYDROL_PROCESS;4
J_FISH_BIOL;FISHERIES_MANAG_ECOL;4
WATER_AIR_SOIL_POLLUT;ENVIRON_MONIT_ASSESS;4
J_APPL_ICHTHYOL;ENVIRON_BIOL_FISH;4
ESTUAR_COAST_SHELF_SCI;AQUAT_CONSERV;4
WATER_RES;ENVIRON_MONIT_ASSESS;4
HYDROLOG_SCI_J;HYDROL_PROCESS;4
MOL_ECOL;CONSERV_GENET;4
TRANS_AMER_FISH_SOC;RIVER_RES_APPL;4
MAR_FRESHWATER_RES;ENVIRON_POLLUT;4
EARTH_PLANET_SCI_LETT;GEOPHYS_RES_LETT;4
J_N_AMER_BENTHOL_SOC;RIVER_RES_APPL;4
FISHERIES_MANAG_ECOL;HYDROBIOLOGIA;3
J_HYDROL;WATER_RESOUR_MANAG;3
RIVER_RES_APPL;ENVIRON_MODELL_SOFTW;3
BIOGEOCHEMISTRY;WATER_RESOUR_RES;3
FUNCT_ECOL;PLANT_ECOL;3
GEOCHIM_COSMOCHIM_ACTA;GEOLOGY;3
EARTH_SURF_PROCESS_LANDF;INT_J_SEDIMENT_RES;3
ECOL_APPL;ENVIRON_SCI_TECHNOL;3
WATER_AIR_SOIL_POLLUT;ENVIRON_POLLUT;3
ECOL_FRESHW_FISH;CONSERV_GENET;3
J_N_AMER_BENTHOL_SOC;HYDROBIOLOGIA;3
CONT_SHELF_RES;ENVIRON_SCI_TECHNOL;3
GEODERMA;ENVIRON_POLLUT;3
J_AM_WATER_RESOUR_ASSOC;ENVIRON_GEOL;3
ESTUAR_COAST_SHELF_SCI;BIOGEOSCIENCES;3
SOUTHEAST_NAT;J_FISH_BIOL;3
WATER_RESOUR_RES;ENVIRON_SCI_TECHNOL;3
ENVIRON_GEOL;APPL_GEOCHEM;3
TRANS_AMER_FISH_SOC;MOL_ECOL;3
REMOTE_SENS_ENVIRON;GEOMORPHOLOGY;3
ECOL_APPL;J_GREAT_LAKES_RES;3
LIMNOL_OCEANOGR;ECOLOGY;3
HYDROBIOLOGIA;INT_REV_HYDROBIOL;3
MAR_ECOL-PROGR_SER;LIMNOL_OCEANOGR;3
ENVIRON_MODELL_SOFTW;WATER_RESOUR_RES;3
J_GREAT_LAKES_RES;MOL_ECOL;3
EARTH_SURF_PROCESS_LANDF;REMOTE_SENS_ENVIRON;3
J_CLIMATE;HYDROL_PROCESS;3
CAN_J_FISHERIES_AQUAT_SCI;EVOL_APPL;3
WATER_ENVIRON_RES;ENVIRON_POLLUT;3
